business_age_years,daily_upi_sales,utility_bill_score,supplier_repay_score,loan_to_revenue_ratio,biz_type_encoded,city_tier,purpose_encoded,monthly_upi,has_digital_payment,tenure_score,repaid_on_time
5.3,8270,3,3,1.06,6,2,0,215020,1,0.353,1
4.0,11035,3,3,1.38,6,2,3,286910,0,0.267,0
0.9,9137,4,4,0.671,3,1,2,237562,1,0.06,1
4.2,5697,4,2,0.538,4,1,2,148122,1,0.28,0
4.9,2328,4,3,2.033,10,2,3,60528,1,0.327,1
0.6,12296,4,4,1.355,5,2,4,319696,0,0.04,1
3.2,18709,1,4,0.891,4,1,4,486434,1,0.213,0
1.9,5661,3,3,1.819,6,1,4,147186,0,0.127,1
27.2,5094,2,4,3.043,3,2,5,132444,1,1.0,1
4.3,3869,2,4,2.826,9,2,1,100594,1,0.287,1
1.8,7405,1,4,0.477,8,3,0,192530,1,0.12,1
23.0,5054,4,4,1.194,8,3,0,131404,1,1.0,1
2.5,4501,2,3,0.874,1,2,4,117026,0,0.167,1
0.9,7734,3,3,0.513,8,2,3,201084,0,0.06,1
5.6,4910,4,2,0.815,5,2,2,127660,0,0.373,0
2.5,6637,1,4,0.442,0,2,3,172562,0,0.167,1
7.3,11644,4,2,1.431,2,1,0,302744,0,0.487,1
5.9,2484,4,3,1.919,8,2,5,64584,1,0.393,0
7.7,9060,3,4,1.84,3,2,5,235560,0,0.513,1
13.3,10070,3,4,1.655,9,2,3,261820,0,0.887,1
3.8,4817,3,4,1.273,11,2,0,125242,1,0.253,1
6.3,3053,3,3,1.004,9,2,1,79378,0,0.42,1
5.6,11190,3,4,1.489,1,2,2,290940,1,0.373,1
3.9,7354,4,2,2.266,0,1,1,191204,1,0.26,0
8.0,6826,4,2,0.62,9,1,0,177476,1,0.533,0
10.4,2407,1,4,0.512,9,1,3,62582,0,0.693,1
8.2,14659,2,3,0.287,1,1,4,381134,0,0.547,1
1.8,4866,4,4,0.904,2,1,3,126516,0,0.12,1
1.6,13524,2,4,1.232,10,1,4,351624,1,0.107,1
5.1,16546,3,3,0.451,4,1,1,430196,1,0.34,1
1.7,2975,3,1,1.849,6,1,0,77350,1,0.113,1
2.7,3301,2,1,1.06,1,2,1,85826,0,0.18,1
7.3,18967,4,4,0.879,7,1,5,493142,0,0.487,1
